account_prefix,poste
# ==============================================================================
# Correspondance compte -> poste P&L, generee depuis "Correspondance comptes.xlsx"
# (table officielle EPSILOG). Matching par prefixe LE PLUS LONG : un compte exact
# a 7 chiffres l'emporte sur une regle de classe courte.
# Les comptes "Compte NNNNNNN" (CACG) sont ceux des en-tetes du detail GL.
# Reconciliation May 2026 : 9 postes sur 11 exacts au centime ; residuels mineurs
# (Occupancy/Office supplies +-33 EUR, Outsourcing/Law +-4898 EUR = 6450500+6451500
# reclasses par le P&L de gestion). Ajustable ici ou dans l'editeur de l'appli.
# ==============================================================================
# --- Total Revenues ---
4000000,Total Revenues
4050500,Total Revenues
4100000,Total Revenues
4101500,Total Revenues
4150000,Total Revenues
4200000,Total Revenues
4201500,Total Revenues
4350000,Total Revenues
# --- Internal Revenues (Group Companies) ---
4451000,Internal Revenues (Group Companies)
# --- Other income ---
4500000,Other income
4501500,Other income
4501510,Other income
4501520,Other income
4503500,Other income
# --- COGS ventilés par sous-poste (One Time vs Recurring) ---
# Recon. mai 2026 : Professional services = 5100000+5101500 = 18 074 € (= P&L exact) ;
# Recurring = 5201500 (App host ASP) = 17 108 € (= P&L exact). COGS Hardware (5050500)
# reste incomplet dans l'export (le gros du HW n'y figure pas).
5050500,COGS Hardware
5100000,COGS Professional services
5101500,COGS Professional services
5451000,COGS Professional services
5201500,COGS Other recurring service fees
# --- Personnel expenses ---
6000000,Personnel expenses
6001000,Personnel expenses
6001500,Personnel expenses
6003000,Personnel expenses
6004000,Personnel expenses
6004100,Personnel expenses
6004200,Personnel expenses
6004500,Personnel expenses
6005000,Personnel expenses
6006000,Personnel expenses
6006100,Personnel expenses
6006500,Personnel expenses
6007000,Personnel expenses
6007500,Personnel expenses
6001500,Personnel expenses
6004500,Personnel expenses
6004501,Personnel expenses
6004502,Personnel expenses
# --- Outsourcing ---
6051000,Outsourcing
6053500,Outsourcing
6054000,Outsourcing
6054100,Outsourcing
6054200,Outsourcing
6054600,Outsourcing
6054700,Outsourcing
# --- Contractors ---
6100000,Contractors
6101000,Contractors
6101500,Contractors
# --- Occupancy ---
6150000,Occupancy
6150100,Occupancy
6150500,Occupancy
6150600,Occupancy
6151000,Occupancy
6152000,Occupancy
6152500,Occupancy
6153000,Occupancy
6154000,Occupancy
6155200,Occupancy
# --- ICT ---
6200000,ICT
6200500,ICT
6201000,ICT
6201500,ICT
6203500,ICT
6206000,ICT
6207000,ICT
# --- Marketing ---
6250000,Marketing
6250500,Marketing
6251000,Marketing
6251500,Marketing
6254000,Marketing
# --- Company Cars ---
6300000,Company Cars
6301000,Company Cars
6301500,Company Cars
6302000,Company Cars
6302500,Company Cars
6303000,Company Cars
# --- Travel ---
6350000,Travel
6350500,Travel
6351000,Travel
6351500,Travel
6352000,Travel
6353000,Travel
# --- Office supplies ---
6400000,Office supplies
6400500,Office supplies
# --- Law and consultancy fees ---
6450500,Law and consultancy fees
6451000,Law and consultancy fees
6451500,Law and consultancy fees
6452000,Law and consultancy fees
# --- Other expenses ---
6600000,Other expenses
6600500,Other expenses
6601500,Other expenses
6603000,Other expenses
6603600,Other expenses
6604500,Other expenses
6605000,Other expenses
6606500,Other expenses
6607000,Other expenses
